title	author	ave_rating	no_rating	link
The Lord of the Rings	J.R.R. Tolkien	4.50	609,991	https://www.goodreads.com/book/show/33.The_Lord_of_the_Rings
The Name of the Wind (The Kingkiller Chronicle, #1)	Patrick Rothfuss	4.51	806,596	https://www.goodreads.com/book/show/186074.The_Name_of_the_Wind
The Hobbit, or There and Back Again	J.R.R. Tolkien	4.28	3,224,683	https://www.goodreads.com/book/show/5907.The_Hobbit_or_There_and_Back_Again
The Way of Kings (The Stormlight Archive, #1)	Brandon Sanderson	4.61	368,063	https://www.goodreads.com/book/show/7235533-the-way-of-kings
Magician (The Riftwar Saga, #1-2)	Raymond E. Feist	4.27	66,599	https://www.goodreads.com/book/show/43916.Magician
The Eye of the World (The Wheel of Time, #1)	Robert Jordan	4.17	442,882	https://www.goodreads.com/book/show/228665.The_Eye_of_the_World
Legend (The Drenai Saga, #1)	David Gemmell	4.27	28,499	https://www.goodreads.com/book/show/618177.Legend
A Game of Thrones (A Song of Ice and Fire, #1)	George R.R. Martin	4.44	2,173,799	https://www.goodreads.com/book/show/13496.A_Game_of_Thrones
Assassin's Apprentice (Farseer Trilogy, #1)	Robin Hobb	4.16	264,978	https://www.goodreads.com/book/show/45107.Assassin_s_Apprentice
Pawn of Prophecy (The Belgariad, #1)	David Eddings	4.13	102,247	https://www.goodreads.com/book/show/44659.Pawn_of_Prophecy
Furies of Calderon (Codex Alera, #1)	Jim Butcher	4.10	104,135	https://www.goodreads.com/book/show/29396.Furies_of_Calderon
The Way of Shadows (Night Angel, #1)	Brent Weeks	4.13	159,048	https://www.goodreads.com/book/show/3227063-the-way-of-shadows
The Blade Itself (The First Law, #1)	Joe Abercrombie	4.17	191,621	https://www.goodreads.com/book/show/944073.The_Blade_Itself
Wizard's First Rule (Sword of Truth, #1)	Terry Goodkind	4.11	239,655	https://www.goodreads.com/book/show/43889.Wizard_s_First_Rule
Elric of Melniboné (The Elric Saga, #1)	Michael Moorcock	3.89	24,124	https://www.goodreads.com/book/show/30036.Elric_of_Melnibon_
The Lies of Locke Lamora (Gentleman Bastard, #1)	Scott Lynch	4.25	259,809	https://www.goodreads.com/book/show/127455.The_Lies_of_Locke_Lamora
American Gods (American Gods, #1)	Neil Gaiman	4.10	828,429	https://www.goodreads.com/book/show/4407.American_Gods
The Dragonbone Chair (Memory, Sorrow, and Thorn, #1)	Tad Williams	3.94	68,900	https://www.goodreads.com/book/show/91981.The_Dragonbone_Chair
The Complete Chronicles of Conan	Robert E. Howard	4.29	4,755	https://www.goodreads.com/book/show/828878.The_Complete_Chronicles_of_Conan
The Last Unicorn (The Last Unicorn, #1)	Peter S. Beagle	4.14	104,684	https://www.goodreads.com/book/show/29127.The_Last_Unicorn
The Savage Tales of Solomon Kane	Robert E. Howard	4.06	4,798	https://www.goodreads.com/book/show/363711.The_Savage_Tales_of_Solomon_Kane
The Great Book of Amber (The Chronicles of Amber, #1-10)	Roger Zelazny	4.31	24,787	https://www.goodreads.com/book/show/5367.The_Great_Book_of_Amber
A Clash of Kings (A Song of Ice and Fire, #2)	George R.R. Martin	4.40	840,535	https://www.goodreads.com/book/show/10572.A_Clash_of_Kings
The Gunslinger (The Dark Tower, #1)	Stephen King	3.94	553,199	https://www.goodreads.com/book/show/43615.The_Gunslinger
Waylander (The Drenai Saga #3)	David Gemmell	4.28	18,664	https://www.goodreads.com/book/show/568099.Waylander
The Crown Conspiracy (The Riyria Revelations, #1)	Michael J. Sullivan	4.19	20,505	https://www.goodreads.com/book/show/4345290-the-crown-conspiracy
The Coming of Conan the Cimmerian (Conan the Cimmerian, #1)	Robert E. Howard	4.15	12,389	https://www.goodreads.com/book/show/33482.The_Coming_of_Conan_the_Cimmerian
The Princess Bride	William Goldman	4.25	835,221	https://www.goodreads.com/book/show/21787.The_Princess_Bride
Royal Assassin (Farseer Trilogy, #2)	Robin Hobb	4.22	167,238	https://www.goodreads.com/book/show/68487.Royal_Assassin
Silverthorn (The Riftwar Saga, #3)	Raymond E. Feist	4.09	58,884	https://www.goodreads.com/book/show/149302.Silverthorn
Ill Met in Lankhmar (Fafhrd and the Gray Mouser #1-2)	Fritz Leiber	4.16	2,791	https://www.goodreads.com/book/show/102266.Ill_Met_in_Lankhmar
The Final Empire (Mistborn, #1)	Brandon Sanderson	4.44	482,055	https://www.goodreads.com/book/show/68428.The_Final_Empire
The Deed of Paksenarrion (The Deed of Paksenarrion, #1-3)	Elizabeth Moon	4.31	12,662	https://www.goodreads.com/book/show/96281.The_Deed_of_Paksenarrion
Wolf in Shadow (Jon Shannow, #1)	David Gemmell	4.18	4,904	https://www.goodreads.com/book/show/1741089.Wolf_in_Shadow
The Sword of Shannara Trilogy (Shannara, #1-3)	Terry Brooks	3.96	22,645	https://www.goodreads.com/book/show/478894.The_Sword_of_Shannara_Trilogy
Lord of the Silver Bow (Troy, #1)	David Gemmell	4.33	13,368	https://www.goodreads.com/book/show/257149.Lord_of_the_Silver_Bow
A Darkness At Sethanon (The Riftwar Saga, #4)	Raymond E. Feist	4.15	66,689	https://www.goodreads.com/book/show/13813.A_Darkness_At_Sethanon
Homeland (Forgotten Realms: The Dark Elf Trilogy, #1; Legend of Drizzt, #1)	R.A. Salvatore	4.23	82,434	https://www.goodreads.com/book/show/50027.Homeland
Assassin's Quest (Farseer Trilogy, #3)	Robin Hobb	4.17	133,186	https://www.goodreads.com/book/show/45112.Assassin_s_Quest
Daughter of the Empire (The Empire Trilogy, #1)	Raymond E. Feist	4.28	34,435	https://www.goodreads.com/book/show/589979.Daughter_of_the_Empire
The First Chronicles of Druss the Legend (The Drenai Saga, #6)	David Gemmell	4.34	10,954	https://www.goodreads.com/book/show/526071.The_First_Chronicles_of_Druss_the_Legend
The Belgariad Boxed Set: Pawn of Prophecy / Queen of Sorcery / Magician's Gambit / Castle of Wizardry / Enchanters' End Game (The Belgariad, #1-5)	David Eddings	4.28	15,270	https://www.goodreads.com/book/show/44660.The_Belgariad_Boxed_Set
The Crystal Shard (Forgotten Realms: Icewind Dale, #1; Legend of Drizzt, #4)	R.A. Salvatore	4.08	54,033	https://www.goodreads.com/book/show/66693.The_Crystal_Shard
Kull: Exile of Atlantis	Robert E. Howard	3.98	2,720	https://www.goodreads.com/book/show/186182.Kull
Stone of Farewell (Memory, Sorrow, and Thorn, #2)	Tad Williams	4.05	49,329	https://www.goodreads.com/book/show/28689.Stone_of_Farewell
In the Realm of the Wolf (The Drenai Saga, #5)	David Gemmell	4.24	8,364	https://www.goodreads.com/book/show/870808.In_the_Realm_of_the_Wolf
To Green Angel Tower (Memory, Sorrow, and Thorn, #3)	Tad Williams	4.19	32,312	https://www.goodreads.com/book/show/28691.To_Green_Angel_Tower
Glory Road	Robert A. Heinlein	3.78	12,640	https://www.goodreads.com/book/show/50856.Glory_Road
A Storm of Swords (A Song of Ice and Fire, #3)	George R.R. Martin	4.53	705,992	https://www.goodreads.com/book/show/62291.A_Storm_of_Swords
The Book of Jhereg (Vlad Taltos, #1-3)	Steven Brust	4.19	4,551	https://www.goodreads.com/book/show/590349.The_Book_of_Jhereg
The Fionavar Tapestry (The Fionavar Tapestry #1-3)	Guy Gavriel Kay	4.22	7,023	https://www.goodreads.com/book/show/1148721.The_Fionavar_Tapestry
The Chronicles of Thomas Covenant, the Unbeliever (The Chronicles of Thomas Covenant the Unbeliever, #1-3)	Stephen R. Donaldson	3.80	14,744	https://www.goodreads.com/book/show/179033.The_Chronicles_of_Thomas_Covenant_the_Unbeliever
The Return of Tarzan (Tarzan, #2)	Edgar Rice Burroughs	3.83	9,069	https://www.goodreads.com/book/show/589897.The_Return_of_Tarzan
The Dragon Reborn (The Wheel of Time, #3)	Robert Jordan	4.25	237,423	https://www.goodreads.com/book/show/34897.The_Dragon_Reborn
Midnight Sun: The Complete Stories of Kane	Karl Edward Wagner	4.51	321	https://www.goodreads.com/book/show/715273.Midnight_Sun
The Diamond Throne (The Elenium, #1)	David Eddings	3.96	33,316	https://www.goodreads.com/book/show/616678.The_Diamond_Throne
The Broken Sword	Poul Anderson	3.86	5,837	https://www.goodreads.com/book/show/715287.The_Broken_Sword
The King's Buccaneer (Krondor's Sons, #2)	Raymond E. Feist	4.08	23,496	https://www.goodreads.com/book/show/169959.The_King_s_Buccaneer
Servant of the Empire (The Empire Trilogy, #2)	Raymond E. Feist	4.31	27,200	https://www.goodreads.com/book/show/13815.Servant_of_the_Empire
The Keep (Adversary Cycle, #1)	F. Paul Wilson	3.99	17,771	https://www.goodreads.com/book/show/62571.The_Keep
Orcs (Orcs: First Blood, #1-3)	Stan Nicholls	3.41	4,161	https://www.goodreads.com/book/show/6396168-orcs
Fawcetta (Voices and Echoes of the Coliseum, #1)	Dalian Artanian	4.14	84	https://www.goodreads.com/book/show/6746405-fawcetta
Rise of a Merchant Prince (The Serpentwar Saga, #2)	Raymond E. Feist	4.08	27,546	https://www.goodreads.com/book/show/43917.Rise_of_a_Merchant_Prince
Hero in the Shadows (The Drenai Saga, #9)	David Gemmell	4.29	7,341	https://www.goodreads.com/book/show/568116.Hero_in_the_Shadows
Night Winds	Karl Edward Wagner	4.28	925	https://www.goodreads.com/book/show/1695319.Night_Winds
Jirel of Joiry	C.L. Moore	3.74	1,182	https://www.goodreads.com/book/show/941226.Jirel_of_Joiry
The Hour of the Dragon	Robert E. Howard	4.12	4,213	https://www.goodreads.com/book/show/421156.The_Hour_of_the_Dragon
Lean Times in Lankhmar (Fafhrd and the Gray Mouser #3-4)	Fritz Leiber	4.25	898	https://www.goodreads.com/book/show/456059.Lean_Times_in_Lankhmar
Gods in Darkness: The Complete Novels of Kane	Karl Edward Wagner	4.44	328	https://www.goodreads.com/book/show/715275.Gods_in_Darkness
Mistress of the Empire (The Empire Trilogy, #3)	Raymond E. Feist	4.33	24,569	https://www.goodreads.com/book/show/317504.Mistress_of_the_Empire
Shadow of a Dark Queen (The Serpentwar Saga, #1)	Raymond E. Feist	4.06	27,687	https://www.goodreads.com/book/show/43908.Shadow_of_a_Dark_Queen
Morningstar	David Gemmell	4.18	4,302	https://www.goodreads.com/book/show/258872.Morningstar
Wrath of a Mad God (The Darkwar Saga, #3)	Raymond E. Feist	4.08	10,519	https://www.goodreads.com/book/show/1196299.Wrath_of_a_Mad_God
Conan the Barbarian	L. Sprague de Camp	3.86	1,225	https://www.goodreads.com/book/show/1612812.Conan_the_Barbarian
The Swords of Lankhmar (Fafhrd and the Gray Mouser #5)	Fritz Leiber	4.09	3,188	https://www.goodreads.com/book/show/430961.The_Swords_of_Lankhmar
Bloodstone	Karl Edward Wagner	4.09	1,314	https://www.goodreads.com/book/show/715276.Bloodstone
Thieves' World (Thieves' World, #1)	Robert Lynn Asprin	3.84	7,502	https://www.goodreads.com/book/show/552357.Thieves_World
The Seer and the Sword	Victoria Hanley	4.12	10,466	https://www.goodreads.com/book/show/420415.The_Seer_and_the_Sword
Krondor: The Assassins (The Riftwar Legacy, #2)	Raymond E. Feist	3.89	12,572	https://www.goodreads.com/book/show/13818.Krondor
King of Foxes (Conclave of Shadows, #2)	Raymond E. Feist	4.00	14,462	https://www.goodreads.com/book/show/153175.King_of_Foxes
Luck in the Shadows (Nightrunner, #1)	Lynn Flewelling	4.08	19,578	https://www.goodreads.com/book/show/74270.Luck_in_the_Shadows
Prince of the Blood (Krondor's Sons, #1)	Raymond E. Feist	4.01	23,822	https://www.goodreads.com/book/show/13878.Prince_of_the_Blood
Shadowplay (Shadowmarch, #2)	Tad Williams	3.91	7,498	https://www.goodreads.com/book/show/28687.Shadowplay
Hrolf Kraki's Saga	Poul Anderson	3.98	561	https://www.goodreads.com/book/show/462595.Hrolf_Kraki_s_Saga
Return to Lankhmar (Fafhrd and the Gray Mouser, #5-6)	Fritz Leiber	4.18	614	https://www.goodreads.com/book/show/218708.Return_to_Lankhmar
Shards of a Broken Crown (The Serpentwar Saga, #4)	Raymond E. Feist	4.04	21,403	https://www.goodreads.com/book/show/13817.Shards_of_a_Broken_Crown
The Last Wish (The Witcher, #0.5)	Andrzej Sapkowski	4.12	245,706	https://www.goodreads.com/book/show/1128434.The_Last_Wish
Talion: Revenant	Michael A. Stackpole	4.17	2,743	https://www.goodreads.com/book/show/89553.Talion
Sword and Sorceress III	Marion Zimmer Bradley	3.98	1,073	https://www.goodreads.com/book/show/176890.Sword_and_Sorceress_III
Krondor: The Betrayal (The Riftwar Legacy, #1)	Raymond E. Feist	3.87	14,607	https://www.goodreads.com/book/show/92918.Krondor
Imaro	Charles R. Saunders	3.95	713	https://www.goodreads.com/book/show/1535273.Imaro
Harry Potter and the Goblet of Fire (Harry Potter, #4)	J.K. Rowling	4.56	2,921,832	https://www.goodreads.com/book/show/6.Harry_Potter_and_the_Goblet_of_Fire
Death Angel's Shadow	Karl Edward Wagner	4.26	853	https://www.goodreads.com/book/show/216549.Death_Angel_s_Shadow
Dragons of Autumn Twilight (Dragonlance: Chronicles, #1)	Margaret Weis	3.99	114,436	https://www.goodreads.com/book/show/259836.Dragons_of_Autumn_Twilight
Rage of a Demon King (The Serpentwar Saga, #3)	Raymond E. Feist	4.06	25,203	https://www.goodreads.com/book/show/13881.Rage_of_a_Demon_King
Northwest Smith	C.L. Moore	3.89	174	https://www.goodreads.com/book/show/941224.Northwest_Smith
Swords Against Darkness (Swords Against Darkness, #1)	Andrew J. Offutt	4.11	296	https://www.goodreads.com/book/show/84187.Swords_Against_Darkness
Harbinger of Doom - Gateway Edition (The Harbinger of Doom Saga, #1 novella length, #2)	Glenn G. Thater	3.70	71	https://www.goodreads.com/book/show/3437360-harbinger-of-doom---gateway-edition
The Swords of Night and Day (The Drenai Saga, #11)	David Gemmell	4.33	8,513	https://www.goodreads.com/book/show/19298.The_Swords_of_Night_and_Day
Blood Song (Raven's Shadow, #1)	Anthony Ryan	4.37	81,702	https://www.goodreads.com/book/show/13569581-blood-song
Talon of the Silver Hawk (Conclave of Shadows, #1)	Raymond E. Feist	4.04	17,429	https://www.goodreads.com/book/show/13811.Talon_of_the_Silver_Hawk
Echoes of Valor	Karl Edward Wagner	3.80	71	https://www.goodreads.com/book/show/3285441-echoes-of-valor
King's Lament	Lilia Blanc	3.69	87	https://www.goodreads.com/book/show/33022673-king-s-lament
Sword Woman	Robert E. Howard	3.73	214	https://www.goodreads.com/book/show/2023774.Sword_Woman
